L1PhaseSet,L2PhaseSet,currentProfileBinData,maximizeMe
-29.24187376523254,-41.92175281348822,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   1   3   7  15  25  36  45  51  55  57  60  66  74
  89 111 140 172 201 222 236 249 266 288 318 359 414 477 533 578 629 699
 772 791 710 542 350 192  90  36  12   3   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0]",0.002809110674504251
-29.2234190312609,-41.9493405183686,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   1   4   9  16  25  34  42  49  55  60  65  72
  83 101 124 153 183 213 243 274 308 345 381 416 449 479 507 541 606 708
 807 825 718 520 311 155  65  23   7   1   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0]",0.002789913168791248
-29.22156104516846,-41.95061282630043,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   1   3   7  14  24  35  43  48  53  58  67  79
  96 120 149 180 207 230 250 271 297 332 371 408 437 456 471 493 548 648
 765 823 757 578 362 185  77  26   7   1   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0]",0.0027887737975362675
-29.228289285474894,-42.00256396960293,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   2   6  13  22  33  43  52  58  64  71  80
  94 114 138 163 183 200 220 251 294 342 385 419 447 476 506 542 601 697
 797 824 725 529 320 161  69  25   8   2   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0]",0.002780751080524739
-29.22950991196972,-41.993098109970454,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   2   6  13  23  34  43  51  56  62  68  77
  88 103 121 144 172 205 237 266 295 328 368 410 452 493 542 604 682 763
 810 780 656 474 292 153  68  26   8   2   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0]",0.002768458460663138
-29.24187376523254,-41.97782707930658,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   1   3   8  15  24  33  41  47  53  60  68  77
  90 105 126 151 181 215 250 284 315 342 366 387 412 450 510 588 677 763
 815 790 671 489 304 160  72  27   8   2   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0]",0.002761367005169253
-29.213941396979646,-41.92719752929294,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   1   4   8  16  25  34  43  51  58  66  74  82
  92 107 128 155 182 208 230 251 277 311 354 402 449 491 529 572 637 726
 804 809 702 513 314 162  71  27   9   2   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0]",0.002740631320681946
-29.21658022733704,-41.94289255618104,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   1   3   8  16  26  37  47  55  62  68  75
  85 100 121 146 173 200 227 256 287 322 369 434 510 572 602 612 643 716
 790 788 668 469 272 132  56  21   7   2   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0]",0.002738739457155027
-29.21617992915867,-42.109152257833976,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   1   3   7  14  24  34  44  52  58  65  72
  82  95 113 138 169 203 239 281 331 388 442 479 491 487 492 538 637 757
 830 793 646 447 266 141  69  32  14   5   1   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0]",0.002724350683271061
-29.229945176346373,-41.94137693369734,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   1   3   7  14  23  33  43  51  58  64  70  77
  87 103 124 152 184 219 253 285 313 335 353 376 409 455 512 580 665 757
 818 799 680 495 307 162  73  28   9   2   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0]",0.002711331695285797
-29.216380907220813,-41.92443860941315,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   1   4  10  18  28  37  44  51  58  66  75  87
 103 123 148 175 203 226 243 257 274 298 329 361 398 442 494 552 624 712
 791 806 718 546 351 191  87  34  11   3   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0]",0.002694762000102708
-29.260443340225983,-42.088184384863766,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   1   5  11  20  32  42  50  56  62  71
  83 100 119 139 165 203 255 316 371 407 428 441 452 463 483 532 622 738
 825 817 689 485 282 136  54  18   5   1   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0]",0.002693999146142494
-29.212956656367933,-41.92882234547077,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   2   5  11  19  28  36  44  52  57  62  67  75
  89 110 134 161 190 221 252 282 307 326 343 367 403 448 497 554 630 727
 811 819 713 523 324 170  76  29   9   2   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0]",0.002672707874681505
-29.211026321820015,-41.96656479460888,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   2   5  12  22  32  42  50  56  62  69  78
  91 107 126 148 173 203 237 273 305 332 358 390 436 490 543 597 666 754
 820 803 675 479 288 148  66  26   9   2   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0]",0.0026722497812598296
-29.223318333671095,-42.03013106122745,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   1   2   6  12  20  27  34  41  48  56  65  76
  88 101 118 138 164 200 247 302 353 389 408 420 436 459 491 540 624 737
 827 825 699 494 291 145  62  22   7   1   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0]",0.0026666666666666666
-29.212956656367933,-41.92882234547077,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   1   3   7  14  23  32  40  48  55  62  70  81
  96 114 134 159 187 220 253 282 307 329 349 371 399 441 501 577 666 756
 818 804 690 505 312 163  72  27   8   2   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0]",0.0026604684917524084
-29.20887808985698,-41.88755058568429,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   2   7  14  23  33  42  49  55  61  66  72  80
  92 108 129 154 179 200 218 237 262 301 352 409 461 498 522 550 604 695
 790 817 727 542 335 173  76  29   9   2   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0]",0.0026599131499337194
-29.227527052140033,-41.94250972455777,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   1   3   8  14  23  31  39  47  56  66  77  91
 107 128 152 176 199 224 252 281 306 323 337 359 395 438 475 511 569 668
 777 824 752 575 367 195  87  33  10   2   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0]",0.0026562978280587142
-29.23133532549762,-42.00107412780235,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   1   4  10  19  29  39  48  54  60  68  78
  92 107 127 150 179 218 263 304 331 346 357 376 407 449 505 579 673 771
 830 800 670 480 294 154  69  26   8   2   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0]",0.0026479500224274085
-29.221818388034787,-41.954228622468115,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   1   3   7  15  25  36  46  54  62  69  76  83
  95 112 135 161 187 211 234 256 278 303 335 376 423 473 526 590 673 762
 817 793 673 491 307 165  78  33  12   4   1   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0]",0.002622369607420901
-29.22584606488607,-41.97355926497299,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   1   3   7  14  23  33  42  49  57  65  74  84
  97 113 134 158 185 213 243 277 310 339 360 377 401 437 488 556 644 745
 822 818 704 514 316 164  72  27   8   2   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0]",0.0026121594302841618
-29.226023016516308,-41.97725701693064,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   1   2   6  13  22  32  41  49  55  59  63  70
  81 100 127 157 188 218 248 274 299 325 355 389 425 468 533 625 728 806
 820 755 622 455 291 160  75  29   9   2   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0]",0.0026057929672998917
-29.228110292962768,-41.996981974737075,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   1   4   9  17  26  35  45  54  61  69  77
  89 107 131 160 190 221 257 296 333 358 370 377 395 433 493 578 680 779
 833 800 671 482 294 152  67  25   7   2   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0]",0.0026017417205865165
-29.22727314024366,-41.95969893106203,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   1   4   9  17  27  36  45  52  58  63  69  78
  92 112 135 156 175 198 230 270 311 348 383 415 441 460 480 517 594 709
 816 838 730 530 318 159  67  24   7   1   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0]",0.0025986388775855276
-29.22493395875622,-42.00272206004424,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   1   3   7  13  22  31  39  46  52  57  62  69
  80  95 117 146 179 213 244 271 301 338 382 427 467 503 540 595 677 773
 832 798 657 456 265 132  57  21   7   2   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0]",0.0025981301231127107
-29.226102771576883,-41.98667597408281,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   1   4  10  18  27  36  43  50  56  64  75
  88 106 129 157 188 221 256 293 328 353 368 381 408 455 516 589 676 772
 836 809 674 474 282 143  62  23   7   1   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0]",0.002597095992597492
-29.25231699248798,-42.110742084860725,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   2   5  11  18  26  34  42  51  60  70
  83 101 126 156 189 219 246 273 304 342 389 441 490 533 575 631 710 791
 823 760 605 412 242 125  58  24   8   2   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0]",0.002594193016552208
